"Sujeto Obligado",Ejercicio,"Fecha de Inicio Del periodo Que Se Informa","Fecha de Término Del periodo Que Se Informa","Funcion Del Sujeto Obligado (catálogo)","Área Administrativa Encargada de Solicitar El Servicio o Producto, en su caso","Clasificación Del(los) Servicios (catálogos)","Tipo de Servicio","Tipo de Medio (catálogo)","Descripción de Unidad","Tipo (catálogo)","Nombre de La Campaña O Aviso Institucional, en su Caso","Año de La Campaña","Tema de La Campaña O Aviso Institucional","Objetivo Institucional","Objetivo de Comunicación","Costo por unidad","Clave Única de Identificación de Campaña","Autoridad Que Proporcionó La Clave","Cobertura (catálogo)","Ámbito Geográfico de Cobertura","Fecha de Inicio de La Campaña O Aviso Institucional","Fecha de término de La Campaña O Aviso Institucional","Sexo (catálogo)","Lugar de Residencia","Nivel Educativo","Grupo de Edad","Nivel Socioeconómico","Respecto a Los Proveedores y su Contratación","Respecto a Los Recursos y El Presupuesto","Respecto Al Contrato y Los Montos","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) Y Actualizan La Información","Fecha de validación","Fecha de actualización",Nota
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"OBRAS MC",,Educación,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Programa de apoyo económico para estudiantes del Municipio de Chihuahua, con la finalidad de disminuir la deserción escolar y reconocer a los estudiantes de excelencia académica.",2319420.00,CCS/02/2018/TLV/DA,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-03,2018-10-14,,,,,,2018-302-1-261-69,2018-302-1-261-69,2018-302-1-261-69,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"FICH FICUU 2018",,"Cultura y artes","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Es un evento para la integración familiar y  convivencia brindado un poco de cultura  Integración de esfuerzos, se multiplicará exponencialmente el alcance de la celebración que enmarcará el 309 aniversario de la Fundación de Chihuahua, en una ?gran fiesta que congrega a todo el estado, para festejar lo que nos une, lo que nos inspira y lo que compartimos: nuestra cultura?.",482850.00,01-CCS-CCMM-2018-5*,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-303-1-264-71,2018-303-1-264-71,2018-303-1-264-71,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"PLAN DE DESARROLLO MUNICIPAL",,"Informes de gobierno","Garantizar el óptimo cumplimiento de los derechos de acceso a la información pública y la protección de datos personales","Dar  a conocer el plan  municipal de desarrollo fomentar la participación de la ciudadanía  con propuesta  para  sea contemplada  en dicho plana.",159500.00,03-CCS-CCMM-2018-2*,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-304-1-264-71,2018-304-1-264-71,2018-304-1-264-71,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"ALERTAS CLIMÁTICAS",,"Protección civil, emergencias y desastres naturales","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Mantener informado al Sistema Nacional de Protección Civil, de las condiciones meteorológicas que puedan afectar a la población y a sus actividades económicas.",1196250.00,04-CCS-M-18,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-01,2018-12-31,,,,,,2018-304-1-264-71,2018-304-1-264-71,2018-304-1-264-71,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"PREDIAL  DE ENERO 2018",,"Trámites y servicios","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Descuento ofrecido del 12% para beneficiar al contribuyente con descuentos y aumentar la recaudación.",183559.20,CS/02/RSE/DA,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-01,2018-01-31,,,,,,2018-310-1-99-43,2018-310-1-99-43,2018-310-1-99-43,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"Becas de Transporte",,"Acceso a la información, transparencia y rendición de cuentas","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua.",235146.85,CCS.007/ESP/2024,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-01,2018-03-30,,,,,,2018-309-1-99-43,2018-309-1-99-43,2018-309-1-99-43,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios impresos",Revistas,,Campañas," DESC DEL PREDIAL ",,"Trámites y servicios","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Incrementar la recaudación de impuestos para mayor solvencia económica.",23333.33,"CCS 001-EIP/2018","Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-01,2018-01-30,,,,,,0-341-1-103-51,0-341-1-103-51,0-341-1-103-51,,,,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios complementarios",Espectaculares,,Campañas,LOGROS,,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Se muestran los diferentes logros, programas y acciones que el Gobierno Municipal ha emprendido durante la presente administración.",45000.00,"CS/03.2018/C28/DA ","Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-09-01,2018-01-26,,,,,,2018-271-1-183-68,2018-271-1-183-68,2018-271-1-183-68,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios impresos",Revistas,,Campañas,"Desc. Predial de Febrero",,Educación,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Apoyar económicamente a los alumnos pertenecientes a familias de escasos recursos que tienen problemas para trasladarse a su institución educativa lo que  genera desaprovechamiento y deserción escolar.",23333.33,CS/05/FJAI/DA,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-02-01,2018-02-28,,,,,,0-342-1-103-51,0-342-1-103-51,0-342-1-103-51,,,,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios impresos",Revistas,,Campañas,"Canje de Armas Durante El Mes de Marzo",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Tiene la intención de evitar la presencia de armas en los hogares que fomenten la comisión de algún delito o algún accidente fatal, se cuenta con la participación de la V Zona Militar, DSPM, DDHyE y la Secretaría del Ayuntamiento. Predial Marzo: Predial: Descuento del 3% ofrecido en beneficio de los ciudadanos para incrementar la recaudación.",23333.33,CS/003.2018/EE/DA,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-03-03,2018-03-30,,,,,,0-340-1-103-51,0-340-1-103-51,0-340-1-103-51,,,,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados",,"Avisos Institucionales","1/4 PUB. DE LICITACIÓN PÚBLICA LP/01/2018-IMPE",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Publicar en medios impresos convocatorias para las adquisiciones, de arrendamientos y servicios de la administración pública , y dar oportunidad  general a empresas a participar como proveedores del Gobierno Municipal.",1774308.30,CS/217/ECH/DA,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-31,2018-12-31,,,,,,2018-300-1-257-35,2018-300-1-257-35,2018-300-1-257-35,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios complementarios",Espectaculares,,Campañas,LOGROS,,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Se muestran los diferentes logros, programas y acciones que el Gobierno Municipal ha emprendido durante la presente administración.",72000.00,"CS/03.2018/C28/DA ","Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-09-01,2018-01-26,,,,,,2018-271-1-183-68,2018-271-1-183-68,2018-271-1-183-68,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios complementarios",Espectaculares,,"Avisos Institucionales","FIESTA  DE LUZ, LOGROS ",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Fiesta de la Luz: Crear conciencia social de una ciudad diversa abierta a las expresiones artísticas y sociales en los espacios públicos en afán de recuperarlos, valorar su riqueza cultural y brindar una alternativa de esparcimiento cultural de carácter familiar y al mismo tiempo incentivar el desarrollo turístico y económico de la ciudad. ///Logros: Se muestran los diferentes logros, programas y acciones que el Gobierno Municipal ha emprendido durante la presente administración.",84000.00,CS/04/RSE/DA,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-01-01,2018-03-31,,,,,,2018-270-1-183-68,2018-270-1-183-68,2018-270-1-183-68,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Octubre-18,31-Diciembre-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados",,"Avisos Institucionales","1/4PUB. LICITACIÓN PUB. O.M 50/18 OFICIALÍA MAYOR",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Publicar en medios impresos convocatorias para las adquisiciones, de arrendamientos y servicios de la administración pública , y dar oportunidad  general a empresas a participar como proveedores del Gobierno Municipal.",445044.28,CS/197/ECH/DA.,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-10-10,2018-12-31,,,,,,2018-301-1-257-35,2018-301-1-257-35,2018-301-1-257-35,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios complementarios",Espectaculares,,"Avisos Institucionales","FIESTA  DE LUZ, LOGROS ",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Fiesta de la Luz: Crear conciencia social de una ciudad diversa abierta a las expresiones artísticas y sociales en los espacios públicos en afán de recuperarlos, valorar su riqueza cultural y brindar una alternativa de esparcimiento cultural de carácter familiar y al mismo tiempo incentivar el desarrollo turístico y económico de la ciudad. ///Logros: Se muestran los diferentes logros, programas y acciones que el Gobierno Municipal ha emprendido durante la presente administración.",13999.99,CS/04/RSE/DA,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-01-01,2018-03-31,,,,,,2018-270-1-183-68,2018-270-1-183-68,2018-270-1-183-68,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,Campañas," DSPM",,"Seguridad pública y justicia","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua"," 
Vehículos especiales para el procesamiento de la escena del crimen, son un instrumento para brindar seguridad y certeza en el actuar del primer respondiente, para preservar y procesar el lugar de la intervención hasta el arribo de la autoridad investigadora. Black Mamba, es utilizado para tareas estratégicas por su utilidad en el traslado de detenidos de alta peligrosidad, así como de armamento. Además es una unidad de reacción rápida que puede usarse como punta de convoy, centro de mando en incidentes de rescate de rehenes (debido a que cuenta con acero balístico de alta calidad) y podrá utilizarse en situaciones de desastre por su fácil acceso a terrenos complicados.
 
",49999.99,CCS015-CCMM/2018,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-03-01,2018-03-30,,,,,,2018-227-1-74-32,2018-227-1-74-32,2018-227-1-74-32,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2020,01-Abril-20,30-Junio-20,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios complementarios",Espectaculares,,Campañas,"REPORTE BACHES AL 072",,"Vialidad y transporte","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","informar sobre  donde pueden hacer las denuncias.",999999.99,CCS/CPS/2020/01,"Unidad Administrativa de Comunicación Social de Gobierno Municipal",Municipal,"Municipio de Chihuahua",2020-04-08,2020-06-30,,,,,,2020-362-1-297-14,2020-362-1-297-14,2020-362-1-297-14,"Unidad administrativa de comunicación social",2020-09-01,2020-09-01,
Chihuahua,2019,01-Octubre-19,31-Diciembre-19,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,"SIN ESPECIFICAR","Sin especificar",,"Sin especificar","Sin especificar","Sin especificar",60000.00,"sin especificar","sin especificar ",Municipal,Municipal,0000-00-00,0000-00-00,,,,,,0-589-1-224-57,0-589-1-224-57,0-589-1-224-57,,,,
Chihuahua,2019,01-Abril-19,30-Junio-19,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,"SIN ESPECIFICAR","Sin especificar",,"Sin especificar","Sin especificar","Sin especificar",15999.00,"sin especificar","sin especificar ",Municipal,Municipal,0000-00-00,0000-00-00,,,,,,0-588-1-150-46,0-588-1-150-46,0-588-1-150-46,,,,
Chihuahua,2019,01-Julio-19,30-Septiembre-19,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,"SIN ESPECIFICAR","Sin especificar",,"Sin especificar","Sin especificar","Sin especificar",48000.80,"sin especificar","sin especificar ",Municipal,Municipal,0000-00-00,0000-00-00,,,,,,0-587-1-205-60,0-587-1-205-60,0-587-1-205-60,,,,
Chihuahua,2019,01-Abril-19,30-Junio-19,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,"SIN ESPECIFICAR","Sin especificar",,"Sin especificar","Sin especificar","Sin especificar",243600.00,"sin especificar","sin especificar ",Municipal,Municipal,0000-00-00,0000-00-00,,,,,,0-585-1-70-101,0-585-1-70-101,0-585-1-70-101,,,,
Chihuahua,2019,01-Octubre-19,31-Diciembre-19,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,"SIN ESPECIFICAR","Sin especificar",,"Sin especificar","Sin especificar","Sin especificar",36500.00,"sin especificar","sin especificar ",Municipal,Municipal,0000-00-00,0000-00-00,,,,,,2019-611-1-57-65,2019-611-1-57-65,2019-611-1-57-65,"Coordinación de Comunicación Social",2020-11-19,2020-11-19,
Chihuahua,2019,01-Octubre-19,31-Diciembre-19,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,"SIN ESPECIFICAR","Sin especificar",,"Sin especificar","Sin especificar","Sin especificar",21399.99,"sin especificar","sin especificar ",Municipal,Municipal,0000-00-00,0000-00-00,,,,,,2019-612-1-57-65,2019-612-1-57-65,2019-612-1-57-65,"Coordinación de Comunicación Social",2020-11-19,2020-11-19,
Chihuahua,2019,01-Octubre-19,31-Diciembre-19,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,"SIN ESPECIFICAR","Sin especificar",,"Sin especificar","Sin especificar","Sin especificar",144000.00,"sin especificar","sin especificar ",Municipal,Municipal,0000-00-00,0000-00-00,,,,,,2019-613-1-58-67,2019-613-1-58-67,2019-613-1-58-67,"Coordinación de Comunicación Social",2020-11-19,2020-11-19,
Chihuahua,2019,01-Octubre-19,31-Diciembre-19,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,"SIN ESPECIFICAR","Sin especificar",,"Sin especificar","Sin especificar","Sin especificar",40000.00,"sin especificar","sin especificar ",Municipal,Municipal,0000-00-00,0000-00-00,,,,,,2019-614-1-69-66,2019-614-1-69-66,2019-614-1-69-66,"Coordinación de Comunicación Social",2020-11-19,2020-11-19,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios complementarios",Espectaculares,,"Avisos Institucionales","FIESTA  DE LUZ, LOGROS ",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Fiesta de la Luz: Crear conciencia social de una ciudad diversa abierta a las expresiones artísticas y sociales en los espacios públicos en afán de recuperarlos, valorar su riqueza cultural y brindar una alternativa de esparcimiento cultural de carácter familiar y al mismo tiempo incentivar el desarrollo turístico y económico de la ciudad. ///Logros: Se muestran los diferentes logros, programas y acciones que el Gobierno Municipal ha emprendido durante la presente administración.",34000.00,CS/04/RSE/DA,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-01-01,2018-03-31,,,,,,2018-270-1-183-68,2018-270-1-183-68,2018-270-1-183-68,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios complementarios",Espectaculares,,"Avisos Institucionales","FIESTA  DE LUZ, LOGROS ",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Fiesta de la Luz: Crear conciencia social de una ciudad diversa abierta a las expresiones artísticas y sociales en los espacios públicos en afán de recuperarlos, valorar su riqueza cultural y brindar una alternativa de esparcimiento cultural de carácter familiar y al mismo tiempo incentivar el desarrollo turístico y económico de la ciudad. ///Logros: Se muestran los diferentes logros, programas y acciones que el Gobierno Municipal ha emprendido durante la presente administración.",72000.00,CS/04/RSE/DA,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-01-01,2018-03-31,,,,,,2018-270-1-183-68,2018-270-1-183-68,2018-270-1-183-68,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"Aprovechar el Descuento del Predial",,Educación,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Programa de apoyo económico para estudiantes del Municipio de Chihuahua, con la finalidad de disminuir la deserción escolar y reconocer a los estudiantes de excelencia académica",70407.77,CS/03/FJAI/DA,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-01,2018-01-30,,,,,,2018-272-1-185-25,2018-272-1-185-25,2018-272-1-185-25,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"Becas  Academicas",,Educación,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Programa de apoyo económico para estudiantes del Municipio de Chihuahua, con la finalidad de disminuir la deserción escolar y reconocer a los estudiantes de excelencia académica.",61434.31,CS/03.2018/MR/DA,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-18,2018-01-27,,,,,,2018-273-1-185-25,2018-273-1-185-25,2018-273-1-185-25,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,Campañas,"PAGO DE PREDIAL",,"Trámites y servicios","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Incrementar la recaudación de impuestos para mayor solvencia económica.",49999.99,"CS/03/JBM/DA ","UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-02-01,2018-02-28,,,,,,2018-228-1-74-32,2018-228-1-74-32,2018-228-1-74-32,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,Campañas,"TARJETA/B. EXCELENCIA B. TRANSPORTE/ PREDIAL /MARCA EL CAMBIO",,Otro,"Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Tarjeta: Programa que tiene por objetivo incrementar el poder adquisitivo de la mujer, mejorando la economía familiar y la local con las empresas que se adhieran al mismo. Los beneficios de esta tarjeta son descuentos en la compra de alimentos, vestido, salud, artículos del hogar, centros recreativos, entre otros bienes y servicios que serán aplicados directamente en las sucursales participantes. Becas Academicas Rural: Consiste en apoyar a los estudiantes de la zona rural para elevar la calidad educativa y así evitar el rezago escolar con 1578 beneficiarios de los diferentes niveles y las 65 comunidades, desde preescolar hasta superior con un monto de 4,791,500.00 pesos. Marca el Cambio: Aplicación móvil del Gobierno Municipal en el cual, el usuario reporta fallas en luminarias o baches, pavimentación, basura, entre otras cosas. Cuenta con un botón de emergencia que se enlaza la DSPM. Predial: Incrementar la recaudación de impuestos para mayor solvencia económica. Becas de Transporte: Apoyar económicamente a los alumnos pertenecientes a familias de escasos recursos que tienen problemas para trasladarse a su institución educativa lo que  genera desaprovechamiento y deserción escolar.",25000.00,CCS002-DIS/2018,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-01-31,2018-02-04,,,,,,2018-229-1-74-32,2018-229-1-74-32,2018-229-1-74-32,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados",,Campañas," DISEÑO DEL DESC DEL PREDIAL ",,"Trámites y servicios","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Incrementar la recaudación de impuestos para mayor solvencia económica.",57000.00,"CS/01/RJ/DA ","Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-01,2018-01-30,,,,,,2018-276-1-186-53,2018-276-1-186-53,2018-276-1-186-53,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados",,Campañas," DISEÑO DEL DESC DEL PREDIAL ",,"Trámites y servicios","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Incrementar la recaudación de impuestos para mayor solvencia económica.",29999.99,"CS/01/RJ/DA ","Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-01,2018-01-30,,,,,,2018-275-1-186-53,2018-275-1-186-53,2018-275-1-186-53,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados",,Campañas,"DISEÑO DEL CANJE DE ARMAS ",,"Seguridad pública y justicia","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Tiene la intención de evitar la presencia de armas en los hogares que fomenten la comisión de algún delito o algún accidente fatal, se cuenta con la participación de la V Zona Militar, DSPM, DDHyE y la Secretaría del Ayuntamiento.",17400.00,"CS/03/RJ/DA ","UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-03-01,2018-03-01,,,,,,2018-274-1-186-53,2018-274-1-186-53,2018-274-1-186-53,Chihuahua,2020-07-27,2020-07-27,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,Campañas,"MI TARJETA MI APOYO MI BIENESTAR ",,Otro,"Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Programa que tiene por objetivo incrementar el poder adquisitivo de la mujer, mejorando la economía familiar y la local con las empresas que se adhieran al mismo. Los beneficios de esta tarjeta son descuentos en la compra de alimentos, vestido, salud, artículos del hogar, centros recreativos, entre otros bienes y servicios que serán aplicados directamente en las sucursales participantes.",20000.00,"CS/01/JBM/DA ","UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-01-01,2018-01-30,,,,,,2018-277-1-187-46,2018-277-1-187-46,2018-277-1-187-46,Chihuahua,2020-07-27,2020-07-27,
