#,Ejercicio,"Fecha de inicio del periodo que se informa","Fecha de término del periodo que se informa",Mensaje,"Hipervínculo Que Dirija a La Información Relativa a La Utilización de Los Tiempos Oficiales","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) y Actualizan la Información","Fecha de Validación","Fecha de actualización",Nota
198,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
199,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
200,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
201,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
202,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
203,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
204,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
205,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
206,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
207,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
208,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
209,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
210,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
211,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
212,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
213,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
214,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
215,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
216,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
217,2019,2019-04-01,2019-06-30,"Se informa por medio de la presente leyenda que para el período comprendido de Enero a Diciembre del 2019 no se ha generado la información pertinente para llenar los rubros que se especifican en el presente formato relativo a Programa Anual de Comunicación Social o equivalente, y por tanto aparece en el blanco lo relativo a:Denominacion del documento, Fecha en la que se aprobó el programa anual de comunicación social, Hipervínculo al Programa Anual de Comunicación Social o equivalente; toda vez que no existe y no se encuentra como atribución en el reglamento interior del Municipio de Chihuahua la creación del programa anual por parte de la Coordinación de Comunicación Social del Municipio de Chihuahua. La publicación del formato con la presente nota, encuentra su fundamento en los Lineamientos Técnicos Generales para la Publicación, Homologación y Estandarización de la Información de las Obligaciones, Capítulo II, artículo octavo, fracción V números 1 y 2, así como en el artículo noveno fracción II, en los que se establece que en caso de que respecto de alguna obligación de transparencia no se haya generado información, se deberá incluir una explicación mediante una nota, es decir, como literalmente alude el lineamiento: ""que la información que deberá publicar y actualizar consiste en la exposición de motivos de no contar con la información"". Por lo que de dicha fundamentación, el supuesto del presente formato se configura y se manifiesta la no generación por parte del Municipio de Chihuahua
 ",,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
218,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
219,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
220,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
221,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
222,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
223,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
224,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
225,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
226,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
227,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
228,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
229,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
230,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
231,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
232,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
233,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
234,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
235,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
236,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
237,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
238,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
239,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
240,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
241,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
242,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
243,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
244,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
245,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
246,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
247,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
248,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
249,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
250,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
251,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
252,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
253,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
254,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
255,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2020-07-24,2020-06-30,
256,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
257,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
258,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2020-07-24,2020-06-30,
259,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
260,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
261,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
262,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
263,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2020-07-24,2020-06-30,
264,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
265,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
266,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
267,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
268,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
269,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
270,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
271,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
272,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
273,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
274,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
275,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
276,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
277,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
278,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
279,2018,2018-01-01,2018-01-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
280,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
281,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
282,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
283,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
284,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
285,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
286,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
287,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
288,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
289,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
290,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
291,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
292,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
293,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
294,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
295,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
296,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
297,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
298,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
299,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
300,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
301,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
302,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
303,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
304,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
305,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
306,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
307,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
308,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
309,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
310,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
311,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
312,2019,2019-04-01,2019-06-30,"Se informa por medio de la presente leyenda que para el período comprendido de Enero a Diciembre del 2019 no se ha generado la información pertinente para llenar los rubros que se especifican en el presente formato relativo a Programa Anual de Comunicación Social o equivalente, y por tanto aparece en el blanco lo relativo a:Denominacion del documento, Fecha en la que se aprobó el programa anual de comunicación social, Hipervínculo al Programa Anual de Comunicación Social o equivalente; toda vez que no existe y no se encuentra como atribución en el reglamento interior del Municipio de Chihuahua la creación del programa anual por parte de la Coordinación de Comunicación Social del Municipio de Chihuahua. La publicación del formato con la presente nota, encuentra su fundamento en los Lineamientos Técnicos Generales para la Publicación, Homologación y Estandarización de la Información de las Obligaciones, Capítulo II, artículo octavo, fracción V números 1 y 2, así como en el artículo noveno fracción II, en los que se establece que en caso de que respecto de alguna obligación de transparencia no se haya generado información, se deberá incluir una explicación mediante una nota, es decir, como literalmente alude el lineamiento: ""que la información que deberá publicar y actualizar consiste en la exposición de motivos de no contar con la información"". Por lo que de dicha fundamentación, el supuesto del presente formato se configura y se manifiesta la no generación por parte del Municipio de Chihuahua
 ",,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
313,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
314,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
315,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
316,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
317,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
318,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
319,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
320,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
321,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
322,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
323,2019,2019-05-26,2019-05-26,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
324,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
325,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
326,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
327,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
328,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
329,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
330,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
331,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
332,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
333,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
334,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
335,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
336,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
337,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
338,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
339,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
340,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
341,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
342,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
343,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
344,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
345,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
346,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
347,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
348,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
349,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
350,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
351,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
352,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
353,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
354,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
355,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
356,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
357,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
358,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
359,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
360,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
361,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
362,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
363,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
364,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
365,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
366,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
367,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
368,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
369,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
370,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
371,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2020-07-02,2018-03-30,
372,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
373,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
374,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
375,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
376,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
377,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
378,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
379,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
380,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
381,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-10-02,2019-01-28,
382,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
383,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
384,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
385,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
386,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
387,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
388,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
