#,Ejercicio,Trimestre,Tipo,"Nombre de la campaña o aviso institucional",Contratante,Solicitante,"Tiempo oficial","Monto total ejercido"
166,2019,abril-junio,"Avisos Institucionales","Predial, luminarias turbo glorietas",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
167,2019,abril-junio,"Avisos Institucionales","Predial de Febrero	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
168,2019,abril-junio,"Avisos Institucionales","Licitación o.m. 24/19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
169,2019,abril-junio,"Avisos Institucionales","Gaza  de periférico  de la cantera",Chihuahua,Chihuahua,"Tiempo fiscal","$ 521,600.16"
170,2019,abril-junio,"Avisos Institucionales","convocatoria unite dspm",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
171,2019,abril-junio,"Avisos Institucionales","Condolencia manuel enrique valdez",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
172,2019,abril-junio,"Avisos Institucionales","1/4licitacion  om 31/2019 bis - oficialía mayor-2",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
173,2019,octubre-diciembre,"Avisos Institucionales","LOGROS, TRABAJANDO CUMPLIMOS, CONDONACIÓN DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
174,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 06/2018 IMPE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
175,2019,octubre-diciembre,"Avisos Institucionales","FICUU condonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo de Estado","$ 499,568.96"
176,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LOS MEJORES AL GOBIERNO /SINDICATURA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
177,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB DE RESULTADO DE BECAS/IMCED",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
178,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE LICITACIÓN PÚBLICA 58/2018 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
179,2018,octubre-diciembre,"Avisos Institucionales","1/4 DE PUB. DE CORTE DEL MES DE NOVIEMBRE/TESORERÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
180,2019,abril-junio,"Avisos Institucionales","Predial Mayo	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
181,2019,abril-junio,"Avisos Institucionales","marca el cambio por tu seguridad",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
182,2019,abril-junio,"Avisos Institucionales","licitacion o.m. 13/19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
183,2019,abril-junio,"Avisos Institucionales","Escudo semana santa	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
184,2019,abril-junio,"Avisos Institucionales","Conv. nacional 04-2019	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
185,2019,abril-junio,"Avisos Institucionales","Becas Predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
186,2019,octubre-diciembre,"Avisos Institucionales","Tarjeta  de la mujer  cierre  del carril  periférico  de la juventud",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
187,2019,octubre-diciembre,"Avisos Institucionales","logros  condonación de recargos predial condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
188,2018,octubre-diciembre,"Avisos Institucionales","FELICITACIÓN 200611401",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
189,2019,octubre-diciembre,"Avisos Institucionales","de recargos del prediallogros condonación del predial de años anteriores",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
190,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA O.M 66/18 OFICIALÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
191,2018,octubre-diciembre,"Avisos Institucionales","1/4JORNADA CÍVICA-DIRECCIÓN DE DESARROLLO HUMANO EDUCACIÓN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
192,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE CON. ANTICIPADOS Y PERMISOS/DESPACHO ALCALDÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
193,2019,abril-junio,"Avisos Institucionales","publicación de l.p o.m. 03/19- oficialia mayor",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
194,2019,abril-junio,"Avisos Institucionales","predial descuento marzo gobierno municipal en tu celular	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 642,499.97"
195,2019,abril-junio,"Avisos Institucionales","licitacion publica o.m 29/19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
196,2019,abril-junio,"Avisos Institucionales","Juntos cuidamos tu patrimonio status",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
197,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL/ LOGROS DEL GOBIERNO MUNICIPAL/ TARJETAS DE MI APOYO MI BIENESTAR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
198,2019,octubre-diciembre,"Avisos Institucionales","ABRE TU EMPRESA/ CONDONACIÓN DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
199,2019,julio-septiembre,"Avisos Institucionales","felicitación cce	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
200,2019,abril-junio,"Avisos Institucionales","Resultados becas de discapacidad ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
201,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DEL LOS RECARGOS DEL PREDIAL/ FICUU/CONDONACIÓN DEL LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
202,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL Y LOGROS CONDONACIÓN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
203,2019,julio-septiembre,"Avisos Institucionales","Beethoven, cierre de ch-p y juaen  pablo segundo	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 1,566,000.00"
204,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predialFICUU condonación del los recargos del predial23",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
205,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL CIERRE / CHIP Y JUAN PABLO II/ TARJETA DE LA  MUJER",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
206,2019,julio-septiembre,"Avisos Institucionales","Tarjeta  de la mujer  cierre  del carril  perisferico  de la juventud	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
207,2019,abril-junio,"Avisos Institucionales","Turbo Glorietas, predial ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 1,076,604.87"
208,2019,abril-junio,"Avisos Institucionales","publicación de l.p o.m. 04/19- oficialia mayor",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
209,2019,abril-junio,"Avisos Institucionales","Predial Enero ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
210,2019,abril-junio,"Avisos Institucionales","Llicitacion o.m. 12/19 bis	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
211,2019,abril-junio,"Avisos Institucionales","juntos por tu seguridad ,construcción de glorietas",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
212,2019,abril-junio,"Avisos Institucionales","CORTE MES DICIEMBRE 2018",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
213,2019,abril-junio,"Avisos Institucionales","Construcción de turbo glorietas  peca	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
214,2019,abril-junio,"Avisos Institucionales","becas 2019 status	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
215,2019,octubre-diciembre,"Avisos Institucionales","OBRAS, TRABAJAMOS CUMPLIMOS, SEGURIDAD, TARJETA DE LA MUJER, PREVENCIÓN DE LLUVIAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 485,513.40"
216,2019,octubre-diciembre,"Avisos Institucionales","FICUU/ CONDONACIÓN DE RECARGOS PREDIAL DE RECARGOS PREDIAL,",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
217,2018,octubre-diciembre,"Avisos Institucionales","CIERRE DE UN CARRIL DE FUENTES MARES",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
218,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE FICUU 2018",Chihuahua,Chihuahua,"Tiempo de Estado","$ 0.00"
219,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. INFORME DE LA UACH/ALCALDÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
220,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB LICITACIÓN PUB. O.M 52/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
221,2019,abril-junio,"Avisos Institucionales","presupuesto participativo",Chihuahua,Chihuahua,"Tiempo fiscal","$ 497,790.70"
222,2019,abril-junio,"Avisos Institucionales","Predial de marzo	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
223,2019,abril-junio,"Avisos Institucionales","licitacion o.m. 25/19 ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
224,2019,abril-junio,"Avisos Institucionales","gracias presupuesto participativo",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
225,2019,abril-junio,"Avisos Institucionales","Corte año 2018	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
226,2019,abril-junio,"Avisos Institucionales","condolencia maria emilia armendariz",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
227,2019,abril-junio,"Avisos Institucionales","apoyo descendientes de veteranos de la rev.",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
228,2019,octubre-diciembre,"Avisos Institucionales","LOGROS. CONDONACIÓN DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
229,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 46/18 BIS BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
230,2019,octubre-diciembre,"Avisos Institucionales","FICUU predial  condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
231,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE PROYECTOS PRODUCTIVOS/DIRE. DE DES. ECONÓMICO Y TURISMO",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
232,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB LICITACIÓN OM053/18  OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
233,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE LICITACIÓN PÚBLICA 59/2018 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo de Estado","$ 0.00"
234,2018,octubre-diciembre,"Avisos Institucionales","1/4 DE PUB. DE MEJORANDO LA CALIDAD DE VIDA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
235,2019,abril-junio,"Avisos Institucionales","Predial Obras",Chihuahua,Chihuahua,"Tiempo fiscal","$ 40,000.00"
236,2019,abril-junio,"Avisos Institucionales","Oprime  el botón  de pánico	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
237,2019,abril-junio,"Avisos Institucionales","licitacion o.m. 14/19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
238,2019,abril-junio,"Avisos Institucionales","FE DE ERRATAS BECAS ACADEMICAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
239,2019,abril-junio,"Avisos Institucionales","Conv. nacional dopm-02-19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
240,2019,abril-junio,"Avisos Institucionales","Becas Predial  ""Académicas y Deportivas""",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
241,2019,octubre-diciembre,"Avisos Institucionales","TARJETA  DE LA MUJER / CIERRE  DEL CARRIL  PERIFÉRICO  DE LA JUVENTUD",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
242,2019,octubre-diciembre,"Avisos Institucionales","logros  condonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
243,2018,octubre-diciembre,"Avisos Institucionales","FELICITACIÓN LIC. FEDERICO BAEZA BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
244,2019,octubre-diciembre,"Avisos Institucionales","ficus condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 731,935.14"
245,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA O.M 67/18 OFICIALÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
246,2018,octubre-diciembre,"Avisos Institucionales","1/4LICITACIÓN O.M LP 73/18",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
247,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE CONDOLENCIA GLORIA ERIAZA DE URANGA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
248,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL/ SEGURIDAD GAZA UNIVERSITARIA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 957,000.00"
249,2019,octubre-diciembre,"Avisos Institucionales","abre tu empresacondonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
250,2019,julio-septiembre,"Avisos Institucionales","felicitación inf. cd Ojinaga",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
251,2019,abril-junio,"Avisos Institucionales","Roba plana beneficiados becas deportivas  /imcf	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
252,2019,octubre-diciembre,"Avisos Institucionales","condonaciónn de recargos del prediallogros, condonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
253,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL, CIERRE DE CARRIL IZQUIERDO DEL PERIFÉRICO DE LA JUVENTUD",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
254,2019,julio-septiembre,"Avisos Institucionales","cierre  chip y juan pablo II .Tarjeta de la  mujer",Chihuahua,Chihuahua,"Tiempo fiscal","$ 1,251,964.00"
255,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del prediallogros condonación",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
256,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL CIERRE CH/ Y JUAN PABLO II/ TARJETA DE LA MUJER",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
257,2019,julio-septiembre,"Avisos Institucionales","tarjeta de mi apoyo y mi bienestar	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 348,000.00"
258,2019,abril-junio,"Avisos Institucionales","utiliza vía alternas",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
259,2019,octubre-diciembre,"Avisos Institucionales","ficus condonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 95,999.76"
260,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PUBLICA O.M 68/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
261,2018,octubre-diciembre,"Avisos Institucionales","1/4LICITACIÓN O.M LP 74/18",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
262,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE CONDOLENCIA RICARDO CARAVEO VALLINA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
263,2019,abril-junio,"Avisos Institucionales","PUBLICACIÓN DE LICITACION L.P IMPE02/2018-IMPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 400,000.00"
264,2019,abril-junio,"Avisos Institucionales","Predial febrero",Chihuahua,Chihuahua,"Tiempo fiscal","$ 511,560.00"
265,2019,abril-junio,"Avisos Institucionales","LP impe/lp/06/2018-bis	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
266,2019,abril-junio,"Avisos Institucionales","juntos una mejor  ciudad continuidad iluminamos mayo v2	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
267,2019,abril-junio,"Avisos Institucionales","Desc  del predial	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
268,2019,abril-junio,"Avisos Institucionales","Construcción de turboglorietas  ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
269,2019,abril-junio,"Avisos Institucionales","Becas académicas ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 647,200.00"
270,2019,octubre-diciembre,"Avisos Institucionales","OBRAS/ TRABAJAMOS CUMPLIMOS/ SEGURIDAD/ TARJETA DE LA MUJER/ PREVENCIÓN DE LLUVIAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
271,2019,octubre-diciembre,"Avisos Institucionales","FICUU/ CONDONACION DEL LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
272,2018,octubre-diciembre,"Avisos Institucionales","CINTILLO BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
273,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA  O.M 05/18 IMPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
274,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. LICITACIÓN OM 57/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
275,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB RESULTADOS CONV. CONSEJO CONSULTIVO/SINDICATURA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
276,2019,abril-junio,"Avisos Institucionales","programa de becas deportivas",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
277,2019,abril-junio,"Avisos Institucionales","predial de marzo  becas  iluminacion	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
278,2019,abril-junio,"Avisos Institucionales","Licitacion o.m.11/19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
279,2019,abril-junio,"Avisos Institucionales","haz crecer tu negocio",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
280,2019,abril-junio,"Avisos Institucionales","CORTE DEL AÑO 2018",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
281,2019,abril-junio,"Avisos Institucionales","condolencia papá dip. misael maynez	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
282,2019,abril-junio,"Avisos Institucionales","app marca el cambio",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
283,2019,octubre-diciembre,"Avisos Institucionales","LOGROS/ CONDONACIÓN DE LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
284,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 53/18  BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
285,2019,octubre-diciembre,"Avisos Institucionales","FICUU, CONDONACIÓN DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
286,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE PROYECTOS PRODUCTIVOS/DIRECCIÓN DE DES. ECONÓMICO Y TURÍSTICO",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
287,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB LICITACIÓN PUB. O.M 47/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
288,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE LICITACIÓN PUBLICA 60/2018 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
289,2018,octubre-diciembre,"Avisos Institucionales","1/4 DE PUBLICACIÓN DE FELICITACIÓN COPARMEX- DESPACHO DE LA ALCALDÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
290,2019,abril-junio,"Avisos Institucionales","Predial obras ,predial de marzo",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
291,2019,abril-junio,"Avisos Institucionales","paam 2019",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
292,2019,abril-junio,"Avisos Institucionales","licitacion o.m. 15/19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
293,2019,abril-junio,"Avisos Institucionales","felicitacion canacintra",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
294,2019,abril-junio,"Avisos Institucionales","conv. nacional dopm-03-19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
295,2019,abril-junio,"Avisos Institucionales","Beneficiados becas	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
296,2019,abril-junio,"Avisos Institucionales","""Predial  gracias""	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
297,2019,octubre-diciembre,"Avisos Institucionales","Tarjeta  de lamujer  condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
298,2019,octubre-diciembre,"Avisos Institucionales","logros  predial  condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
299,2018,octubre-diciembre,"Avisos Institucionales","JORNADA CÍVICA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
300,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL/ TRABAJANDO CUMPLIMOS SERVICIOS A LAS COLONIAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
301,2019,octubre-diciembre,"Avisos Institucionales","Becas academicas  condonacion del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
302,2019,julio-septiembre,"Avisos Institucionales",Logros,Chihuahua,Chihuahua,"Tiempo fiscal","$ 1,076,365.48"
303,2019,abril-junio,"Avisos Institucionales","seminario marketing",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
304,2019,octubre-diciembre,"Avisos Institucionales","conmemoración ala mujer condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
305,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL, FICUU ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
306,2019,julio-septiembre,"Avisos Institucionales","cierre ch-p y juan pablo	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
307,2019,abril-junio,"Avisos Institucionales","PUBLICACIÓN DE SITUACIÓN DE DEUDA/ TESORERÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
308,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del prediallogros condonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
309,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predial cierre de carril  izquierda   de periférico de la juventud",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
310,2019,julio-septiembre,"Avisos Institucionales","TRABAJANDO CUMPLIMOS / SERVICIOS A LAS COLONIAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 330,339.74"
311,2019,octubre-diciembre,"Avisos Institucionales","TARJETA DE LA MUJER CONDONACIÓN DE RECARGOS DE ADEUDO DE AÑOS ANTERIORES",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
312,2019,octubre-diciembre,"Avisos Institucionales","Logros , trabajando cumplimos condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
313,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 02/2018 IMPE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 612,071.11"
314,2019,octubre-diciembre,"Avisos Institucionales","FICUS/ CONDONACIÓN DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
315,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA O.M 70/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
316,2018,octubre-diciembre,"Avisos Institucionales","1/4LICITACIÓN O.M LP 75/18",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
317,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE CONVOCATORIA PLAN MPAL DE DES/DIRECCIÓN DE PLANEACIÓN Y EVALUACIÓN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
318,2019,abril-junio,"Avisos Institucionales","publicacion de los conscriptos de la clase 2001/ despacho de la alcaldia	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 1,597,857.16"
319,2019,abril-junio,"Avisos Institucionales","Predial gracias	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
320,2019,abril-junio,"Avisos Institucionales","lp om 01/2019bis",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
321,2019,abril-junio,"Avisos Institucionales","las molestias  son temporales  y lo beneficios permanentes",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
322,2019,abril-junio,"Avisos Institucionales","Desc  del predial de Feb	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 70,608.04"
323,2019,abril-junio,"Avisos Institucionales","Construcción de turboglorietas  ""oprime el botón  de pánico""",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
324,2019,abril-junio,"Avisos Institucionales","becas con  la aap mia  chihuahua , juntos una mejor ciudad",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
325,2019,octubre-diciembre,"Avisos Institucionales","seminario de marketing digital condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
326,2019,octubre-diciembre,"Avisos Institucionales","FICUU/ CONDONACIÓN DEL LOS RECARGOS DEL PREDIAL/ CONDONACIÓN DEL LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
327,2018,octubre-diciembre,"Avisos Institucionales","CORTE DEL 10 AL 30 DE SEPTIEMBRE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
328,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA 61/2018 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
329,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. LICITACIÓN PÚBLICA OM 56/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
330,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. CORTE DE MES DE SEP. DEL 10 AL 30 DE SEP /TESORERÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
331,2019,abril-junio,"Avisos Institucionales","proyectos productivas",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
332,2019,abril-junio,"Avisos Institucionales","predial de obras	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 172,000.00"
