#,"Número de contrato",Procedimiento,Proveedor,Ejercicio,Trimestre,Contratante,Solicitante,"Objeto del contrato",Descripción,"Fundamento jurídico","Fecha celebración","Fecha inicio","Fecha fin","Monto original del contrato","Monto modificado","Monto total","Monto pagado a la fecha","Archivo contrato en PDF (Vinculo al archivo)",Estatus
84,AD063/18,"Adjudicación directa","Radio Lobo, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""Radio Lobo XHSU106.1"", para la correcta comunicación social del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,815000.00,0.00,815000.00,814857.07,AD063-18.PDF,Activo
85,AD064/18,"Adjudicación directa","Comunicaciones Chihua, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""EXA  100.9 F.M."", para la correcta comunicación social del gobierno Municipal.","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,665000.00,0.00,665000.00,664890.62,AD064-18.PDF,Activo
86,AD065/18,"Adjudicación directa","Radio Impulsora X.E.E., S.A",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofonica","Servicio de publicidad en radio a través del Programa ""XHES 102.5 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo según sea solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,625000.00,0.00,625000.00,624868.80,AD065-18.PDF,Activo
87,AD066/18,"Adjudicación directa","Nueva Era Radio de Chihuahua, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofonica","Servicio de publicidad en radio a través de la estación de ""XHBW Magia digital 93.3 FM,  XHBU La norteñita 91.7 F.M., XHQD Romance 95.7"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo según sea solicitado por la coordinación de comunicación social.  ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,550000.00,0.00,550000.00,549886.40,AD066-18.PDF,Activo
88,AD067/18,"Adjudicación directa","Especialistas en Comunicación Integral, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofonica","Servicio de publicidad en radio a través del Programa ""mega activo"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo según sea solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,175000.00,0.00,175000.00,121790.00,AD067-18.PDF,Activo
89,"AD 068/18","Adjudicación directa","Merboca, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad impresa"," Servicio de publicidad impresa, por medio de publicaciones vía inserciones, de campañas promoción, publicaciones oficiales especificamente en las revista ""Voz en red"", para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,70000.00,0.00,70000.00,69999.99,AD068-18.PDF,Activo
90,AD069/18,"Adjudicación directa","Expreseditores, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad impresa"," Servicio de publicidad impresa, por medio de publicaciones vía inserciones, de campañas promoción, publicaciones oficiales especificamente en las revista ""Express editores"", para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,104400.00,0.00,104400.00,104400.00,AD069-18.PDF,Activo
91,AD070/18,"Adjudicación directa","Radio América de México, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""Radio formula XHV 101.7."", para la correcta comunicación social del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,290000.00,0.00,290000.00,289948.81,AD070-18.PDF,Activo
92,AD071/18,"Adjudicación directa",WWW.ADRIANARUIZ.COM.MX,2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.adrianaruiz.com.mx para la correcta comunicación en el transcurso del año 2018, con el contenido social y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2020-07-11,2018-06-30,100000.00,0.00,100000.00,100000.00,AD071-18.PDF,Activo
93,AD072/18,"Adjudicación directa","Imagen Radio Comercial, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""XHCHI 97.3 F.M."", para la correcta comunicación social del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,750000.00,0.00,750000.00,750000.00,AD072-18.PDF,Activo
94,AD108/19,"Adjudicación directa","Televisora de Occidente, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad en televisión. ","Servicio de publicidad en televisión a través de la programación de ""Televisa"", via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,2226644.00,0.00,2226644.00,2226330.00,AD_108-19.PDF,Activo
95,AD109/19,"Adjudicación directa","Radioflash del Norte, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofonica","Servicio de publicidad en radio a través de la Programación de ""XHBW Magia digital 93.3 FM,  XHBU La norteñita 91.7 F.M., XHQD Romance 95.7"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente.",2019-03-15,2019-03-15,2019-06-30,720000.00,0.00,720000.00,719594.00,AD_109-19.PDF,Activo
96,AD110/19,"Adjudicación directa","Radio Impulsora X.E.E., S.A",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofónica.","Servicio de publicidad en radio a través de la Programación de ""XHES 102.5"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,600000.00,0.00,600000.00,599687.52,AD_110-19.PDF,Activo
97,AD113/19,"Adjudicación directa",www.lajiribilla.com.mx,2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.lajiribilla.com.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,120000.00,0.00,120000.00,120000.00,AD_113-19.PDF,Activo
98,AD114/19,"Adjudicación directa","Información Procesada Hemeroteca  Y Análisis de Prensa, S.C.",2019,enero-marzo,Chihuahua,Chihuahua,"Monitoreo medios de comunicación. ","Servicio de monitoreo y generación de Hemeroteca profesional de medios impresos para asi poder tener una adecuada medición al desempeño del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,162400.00,0.00,162400.00,162400.00,AD_114-19.PDF,Activo
99,AD115/19,"Adjudicación directa","Monito, Análisis y Monitoreo de Medios, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Monitoreo medios de comunicación. ","Servicio de Monitoreo en tiempo real de medio de publicaciones en medios impresos, digitales, radio, televisión a través de un sistema digital con recurso de alertas, para así poder tener una adecuada medición al desempeño del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,348000.00,0.00,348000.00,348000.00,AD_115-19.PDF,Activo
100,AD116/19,"Adjudicación directa","Nueva Línea Comunicación, S.C.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofónica.","Servicio de publicidad en radio a través del Programa ""Palabra Propia"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,170500.00,0.00,170500.00,170297.38,AD_116-19.PDF,Activo
101,AD117/19,"Adjudicación directa","NN NUESTRAS NOTICIAS",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofónica.","Servicio de publicidad en radio a través del Programa ""NN Nuestras Noticias"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,181000.00,0.00,181000.00,180717.90,AD_117-19.PDF,Activo
102,AD120/19,"Adjudicación directa","Merboca, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad impresa.","Servicio de publicidad en materia comercial, via inserciones en diversos periodicos y publicaciones impresas de mayor circulación local, especificamente en las revista ""Voz en Red"", para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,232000.00,0.00,232000.00,232000.00,AD_120-19.PDF,Activo
103,AD121/19,"Adjudicación directa","Consultores en Comunicación y Medios Masivos, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.entrelineas.com.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,723360.00,0.00,723360.00,721300.22,AD_121-19.PDF,Activo
104,AD122/19,"Adjudicación directa","Tolk MX, S. de R.L. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Monitoreo medios de comunicación .","Servicio Profesional de análisis de la conversación digital y medición de audiencias en las distintas redes sociales y plataformas digitales del Gobierno Municipal, para así poder tener una adecuada medición al desempeño del gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente.",2019-03-15,2019-03-15,2019-06-30,850000.00,0.00,850000.00,849450.00,AD_122-19.PDF,Activo
105,AD123/19,"Adjudicación directa","Comercializadora Imation, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad exterior.","Arrendamiento de espacios Unipolares Contando con Servicio de impresión, montaje, retiro del material, en diversos puntos de la ciudad para la adecuada comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,800000.00,0.00,800000.00,791700.00,AD_123-19.PDF,Activo
106,AD125/19,"Adjudicación directa","ASERTO RADIO",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad de radio. ","Servicio de publicidad en radio a través del Programa ""Aserto"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,100250.00,0.00,100250.00,99958.53,AD_125-19.PDF,Activo
107,AD127/19,"Adjudicación directa","Periodismo Referente, S. de R.L. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.referente.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,310000.00,0.00,310000.00,310000.00,AD_127-19.PDF,Activo
108,AD128/19,"Adjudicación directa",www.elpuntero.com.mx,2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elpuntero.com.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,191425.00,0.00,191425.00,190000.00,AD_128-19.PDF,Activo
109,AD129/19,"Adjudicación directa","""Plan de vuelo"", Radio 102.5 FM",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofónica.","Servicio de publicidad en radio a través del Programa ""Plan de vuelo"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,167600.00,0.00,167600.00,167400.00,AD_129-19.PDF,Activo
110,AD130/19,"Adjudicación directa","Programa CONTRASTE",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofónica.","Servicio de publicidad en radio a través del Programa ""Contraste"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,112000.00,0.00,112000.00,111996.44,AD_130-19.PDF,Activo
111,AD131/19,"Adjudicación directa","Cazonci Editores, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad impresa.","Servicio de publicidad en materia comercial, via inserciones en diversos periodicos y publicaciones impresas de mayor circulación local, especificamente en las revista ""Alcaldes de México"", para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,120000.00,0.00,120000.00,120000.00,AD_131-19.PDF,Activo
112,AD132/19,"Adjudicación directa","""Expectativa Noticias""",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad en televisión.","Servicio de publicidad en televisión a través del programa ""Expectativa Noticias"" via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,191500.00,0.00,191500.00,191400.00,AD_132-19.PDF,Activo
113,AD133/19,"Adjudicación directa","Radio América de México, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofónica.","Servicio de publicidad en radio a través del Programa ""Radio Formula XHV101.7"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,280000.00,0.00,280000.00,279629.60,AD_133-19.PDF,Activo
114,AD134/19,"Adjudicación directa","TREINTA Y UNO MAS UNO SC",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en diversas plataformas digitales, para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,750000.00,0.00,750000.00,749999.99,,Activo
115,AD136/19,"Adjudicación directa",noticiasaldia.com.mx,2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.noticiasaldia.com.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente.",2019-03-15,2019-03-15,2019-06-30,62400.00,0.00,62400.00,61600.00,AD_136-19.PDF,Activo
116,AD137/19,"Adjudicación directa","Publicaciones del Chuviscar, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad impresa.","Servicio de publicidad en materia comercial, via inserciones en diversos periodicos y publicaciones impresas de mayor circulación local, especificamente en el periodico ""El Diario de Chihuahua"" , para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,400000.00,0.00,400000.00,400000.00,AD_137-19.PDF,Activo
117,AD144/19,"Adjudicación directa","Comercializadora Tosgon, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofónica","Servicio de publicidad en radio a través del Programa ""Radio Formula XHUA love 90.1 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,240000.00,0.00,240000.00,239702.40,AD_144-19.PDF,Activo
118,AD146/19,"Adjudicación directa","Promotora de Radio de Chihuahua, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad radiofónica.","Servicio de publicidad en radio a través del Programa Estereo Vida, XHHES 94.1 F.M., ArrobaXHDI 88.5, la poderosa XHFA 89.3 y Estereo Meixcana 96.5 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,800000.00,0.00,800000.00,799959.20,AD_146-19.PDF,Activo
119,AD150/19,"Adjudicación directa","Periódicos Digitales de Chihuahua, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.chihuahuanoticias.com, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,96000.00,0.00,96000.00,95999.88,AD_150-19.PDF,Activo
120,AD152/19,"Adjudicación directa","Porlalibre, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.porlalibre.com.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,240000.00,0.00,240000.00,240000.00,,Activo
121,AD075/19,"Adjudicación directa","Analistas del Florido, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.lavisióndechihuahua.com, para la correcta comunicación social del gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que enel mercado exista una sola persona oferente.",2019-03-15,2019-03-15,2019-06-30,160000.00,0.00,160000.00,160000.00,AD_075-19.PDF,Activo
122,AD076/19,"Adjudicación directa","Cia. Periodística El Sol de Chihuahua, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad impresa.","Servicio de publicidad en materia comercial, via inserciones en diversos periodicos y publicaciones impresas de mayor circulación local, especificamente en el periodico ""El Heraldo de Chihuahua"" , para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que enel mercado exista una sola persona oferente.",2019-03-15,2019-03-15,2019-07-30,5326446.00,0.00,5326446.00,5325919.51,AD_076-19.PDF,Activo
123,AD156/19,"Adjudicación directa","Asociación para el Fomento al Deporte Chihuahuense, A.C.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad estadio.","Contratación de publicidad en el estadio Monumental Chihuahua durante los juegos de temporada regular y play off en su caso, del equipo de beisbol Dorados Chihuahua, para la correcta comunicación del Gobierno Municipal solicitado por la Cooordinación de Comunicación Social.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",2019-03-15,2019-03-15,2019-06-30,348000.00,0.00,348000.00,348000.00,AD_156-19.PDF,Activo
124,AD157/19,"Adjudicación directa","Jesús Antonio Pérez Rodríguez",2019,enero-marzo,Chihuahua,Chihuahua,"Servicios diversos de comunicación.","Servicio de Producción profesional para generar contenido Multimedia de calidad cinematografica  para la adecuada comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F. IX. Se trate de los servicios prestados por una persona física, siempre que estos sean realizados por ella misma sin requerir de la utilización de más de una persona especialista o con conocimientos técnicos.",2019-03-15,2019-03-15,2019-06-30,580000.00,0.00,580000.00,580000.00,AD_157-19.PDF,Activo
125,AD161/19,"Adjudicación directa","Fénix Comunicaciones, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elobservador.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente.",2019-03-15,2019-03-15,2019-06-30,80000.00,0.00,80000.00,80000.00,AD_161-19.PDF,Activo
