#,Procedimiento,"Nombre o razón social del proveedor",Ejercicio,Trimestre,"Sujeto obligado contratante","Sujeto obligado solicitante","Número de contrato","Objeto del contrato",Descripción,"Fundamento jurídico","Fecha de celebración","Fecha de inicio","Fecha de término","Monto original de contrato","Monto modificado","Monto total","Monto pagado a la fecha","Archivo del contrato en PDF","Área responsable de la información","Fecha de validación",Año,"Fecha de actualización",Nota,Estatus
61,"Adjudicación directa","Tolk MX, S. de R.L. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,"AD 305/18","Servicios de monitoreo de medios. ","


Servicio de medición de posicionamiento en redes sociales para la correcta comunicación social del Gobierno Municipal en el transcuso del año 2018 


","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 249,900.00",$0.00,"$ 249,900.00","$ 249,900.00",AD_305-18.PDF,Chihuahua,10.07.2020,2018,10.07.2020,,Activo
62,"Adjudicación directa",www.lajiribilla.com.mx,2018,octubre-diciembre,Chihuahua,Chihuahua,AD306/18,"Publicidad medios digitales. ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.lajiribilla.com.mx para la correcta comunicación en el transcurso del año 2018, con el contenido social y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 125,000.00",$0.00,"$ 125,000.00","$ 123,400.01",T-AD_306-18_-_AURORA_MONTERDE_FERNANDEZ.PDF,Chihuahua,10.07.2020,2018,10.07.2020,,Activo
63,"Adjudicación directa","Consultores en Comunicación y Medios Masivos, S.A. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,AD307/18,"Publicidad en medio digitales. ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.entrelineas.com.mx para la correcta comunicación en el transcurso del año 2018, con el contenido social y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 753,499.00",$0.00,"$ 753,499.00","$ 753,000.00",AD_307-18.PDF,Chihuahua,10.07.2020,2018,10.07.2020,,Activo
64,"Adjudicación directa",elresumen.net,2018,octubre-diciembre,Chihuahua,Chihuahua,AD308/18,"Publicidad en medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elresument.net y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 50,000.00",$0.00,"$ 50,000.00","$ 50,000.00",T-AD_308-18_-_JUAN_MANUEL_BARRIENTOS_MARQUEZ.PDF,Chihuahua,10.07.2020,2018,10.07.2020,,Activo
65,"Adjudicación directa","Periodismo Referente, S. de R.L. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,AD309/18,"Publicidad en medios digitales. ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.referente.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 450,000.00",$0.00,"$ 450,000.00","$ 449,600.00",AD_309-18.PDF,Chihuahua,10.07.2020,2018,10.07.2020,,Activo
66,"Adjudicación directa",alcontacto.com.mx,2018,octubre-diciembre,Chihuahua,Chihuahua,AD310/18,"Publicidad en medios digitales. ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.alcontacto.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 124,999.00",$0.00,"$ 124,999.00","$ 123,999.97",T-AD_310-18_-_GLORIA_IVETH_PORRAS_LOYA.PDF,Chihuahua,10.07.2020,2018,10.07.2020,,Activo
67,"Adjudicación directa",WWW.ADRIANARUIZ.COM.MX,2018,octubre-diciembre,Chihuahua,Chihuahua,AD311/18,"Publicidad en medios digitales. ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.adrianaruiz.com.mx para la correcta comunicación en el transcurso del año 2018, con el contenido social y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 99,999.00",$0.00,"$ 99,999.00","$ 99,499.99",T-AD_311-18_-_RODRIGO_MALDONADO_AGUIRRE.PDF,Chihuahua,10.07.2020,2018,10.07.2020,,Activo
68,"Adjudicación directa",www.circulorojo.com.mx,2018,octubre-diciembre,Chihuahua,Chihuahua,AD312/18,"Publicidad en medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elcirculorojo.com.mx  y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos y contratación de Servicios para el Estado de Chihuahua, Articulos; 44 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 173,800.00",$0.00,"$ 173,800.00","$ 173,800.00",T-AD_312-18_-_MARIA_ANDREA_MEDINA_MONTELONGO.PDF,Chihuahua,10.07.2020,2018,10.07.2020,,Activo
69,"Adjudicación directa",WWW.PAUSA.MX,2018,enero-marzo,Chihuahua,Chihuahua,AD038/18,"Publicidad medios digitales","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.pausa.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 60,000.00",$0.00,"$ 60,000.00","$ 60,000.00",AD038-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
70,"Adjudicación directa",WWW.MASNOTICIAS.NET,2018,enero-marzo,Chihuahua,Chihuahua,AD039/18,"Publicidad medios digitales","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.masnoticias.net, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2020,"$ 125,000.00",$0.00,"$ 125,000.00","$ 124,992.00",AD039-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
71,"Adjudicación directa",noticiasaldia.com.mx,2018,enero-marzo,Chihuahua,Chihuahua,AD041/18,"Publicidad medios digitales","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.noticiasaldia.com.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 65,000.00",$0.00,"$ 65,000.00","$ 65,000.00",AD041-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
72,"Adjudicación directa","LA PARADA DIGITAL",2018,enero-marzo,Chihuahua,Chihuahua,AD043/18,"Publicidad medios digitales","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.laparadadigital.com, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 125,000.00",$0.00,"$ 125,000.00","$ 125,000.00",AD043-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
73,"Adjudicación directa","La Ventana del Juicio.mx",2018,enero-marzo,Chihuahua,Chihuahua,AD049/18,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""La ventana del juicio"", para la correcta comunicación social del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 139,200.00",$0.00,"$ 139,200.00","$ 138,941.46",AD049-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
74,"Adjudicación directa","NOTICIERO CHIHUAHUA DIGITAL",2018,enero-marzo,Chihuahua,Chihuahua,AD051/18,"Publicidad televisión ","Servicio en televisión, vía spot, anuncios oficiales, apariciones en programas, entrevistas y transmisiones en vivo, dentro del  programa ""Noticiero Chihuahua Digital"", solicitado por la coordinación de comunicación social.  ","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 174,000.00",$0.00,"$ 174,000.00","$ 173,700.00",AD051-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
75,"Adjudicación directa","ANTENA DEPORTIVA",2018,enero-marzo,Chihuahua,Chihuahua,AD052/18,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""antena deportiva"", para la correcta comunicación social del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales",01.01.2018,01.01.2018,30.06.2018,"$ 150,000.00",$0.00,"$ 150,000.00","$ 149,900.00",AD052-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
76,"Adjudicación directa","""No le cambie""",2018,enero-marzo,Chihuahua,Chihuahua,AD053/18,"Publicidad radiofonica","Servicio de publicidad en radio a través del programa ""No le cambie"" via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo ,Según sea solicitado por la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos,Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 452,400.00",$0.00,"$ 452,400.00","$ 452,384.02",AD053-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
77,"Adjudicación directa","ASERTO RADIO",2018,enero-marzo,Chihuahua,Chihuahua,AD054/18,"Publicidad radiofonica","Servicio de publicidad en radio a través del Programa ""Aserto"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo según sea solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 208,800.00",$0.00,"$ 208,800.00","$ 135,167.74",AD054-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
78,"Adjudicación directa","""Expectativa Noticias""",2018,enero-marzo,Chihuahua,Chihuahua,AD056/18,"Publicidad televisión ","Servicio en televisión dentro de la programación de ""Expectativa noticia"", vía spot, anuncios oficiales, apariciones en programas, entrevistas y transmisiones, en vivo en el transcurso del año 2018, con el fin de armonizar la correcta difusión hacia la ciudadania acerca del trabajo así como de los servidores públicos del ayuntamiento, o de cualquier otra actividad de la presidencia municipal, según se requiera por medio de la coordinación de comunicación social.  ","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 199,520.00",$0.00,"$ 199,520.00","$ 199,449.88",AD056-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
79,"Adjudicación directa",www.lajiribilla.com.mx,2018,enero-marzo,Chihuahua,Chihuahua,AD057/18,"Publicidad medios digitales","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.lajiribilla.com.mx para la correcta comunicación en el transcurso del año 2018, con el contenido social y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 125,000.00",$0.00,"$ 125,000.00","$ 124,999.98",AD057-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
80,"Adjudicación directa","Información Procesada Hemeroteca  Y Análisis de Prensa, S.C.",2018,enero-marzo,Chihuahua,Chihuahua,AD059/18,"Servicios diversos de comunicación ","Servicio profesional de medios (radio, televisión, prensa escrita y periodicos digitales) para así poder tener una adecuada medición al desempeño del gobierno municipal, solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 175,000.00",$0.00,"$ 175,000.00","$ 175,000.00","No hay archivo",Chihuahua,06.06.2020,2018,06.06.2020,,Activo
81,"Adjudicación directa","AA Print, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD060/18,"Publicidad exterior ","Arrendamiento de espacios Unipolares Contando con Servicio de impresión, montaje, retiro del material, en diversos puntos de la ciudad para la adecuada comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 350,000.00",$0.00,"$ 350,000.00","$ 349,999.93",AD060-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
82,"Adjudicación directa","Monito, Análisis y Monitoreo de Medios, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD061/18,"Servicios diversos de comunicación ","Servicio de monitoreo profesional de medios (radio, televisión, prensa escrita y periodicos digitales) para así poder tener una adecuada medición al desempeño del gobierno municipal, solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 435,000.00",$0.00,"$ 435,000.00","$ 0.00",AD061-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
83,"Adjudicación directa","Consultores en Comunicación y Medios Masivos, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD062/18,"Publicidad medios digitales","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.entrelineas.com.mx para la correcta comunicación en el transcurso del año 2018, con el contenido social y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 754,000.00",$0.00,"$ 754,000.00","$ 491,600.00",AD062-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
84,"Adjudicación directa","Radio Lobo, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD063/18,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""Radio Lobo XHSU106.1"", para la correcta comunicación social del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 815,000.00",$0.00,"$ 815,000.00","$ 814,857.07",AD063-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
85,"Adjudicación directa","Comunicaciones Chihua, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD064/18,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""EXA  100.9 F.M."", para la correcta comunicación social del gobierno Municipal.","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 665,000.00",$0.00,"$ 665,000.00","$ 664,890.62",AD064-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
86,"Adjudicación directa","Radio Impulsora X.E.E., S.A",2018,enero-marzo,Chihuahua,Chihuahua,AD065/18,"Publicidad radiofonica","Servicio de publicidad en radio a través del Programa ""XHES 102.5 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo según sea solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 625,000.00",$0.00,"$ 625,000.00","$ 624,868.80",AD065-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
87,"Adjudicación directa","Nueva Era Radio de Chihuahua, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD066/18,"Publicidad radiofonica","Servicio de publicidad en radio a través de la estación de ""XHBW Magia digital 93.3 FM,  XHBU La norteñita 91.7 F.M., XHQD Romance 95.7"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo según sea solicitado por la coordinación de comunicación social.  ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 550,000.00",$0.00,"$ 550,000.00","$ 549,886.40",AD066-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
88,"Adjudicación directa","Especialistas en Comunicación Integral, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD067/18,"Publicidad radiofonica","Servicio de publicidad en radio a través del Programa ""mega activo"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo según sea solicitado por la coordinación de comunicación social. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 175,000.00",$0.00,"$ 175,000.00","$ 121,790.00",AD067-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
89,"Adjudicación directa","Merboca, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,"AD 068/18","Publicidad impresa"," Servicio de publicidad impresa, por medio de publicaciones vía inserciones, de campañas promoción, publicaciones oficiales especificamente en las revista ""Voz en red"", para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 70,000.00",$0.00,"$ 70,000.00","$ 69,999.99",AD068-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
90,"Adjudicación directa","Expreseditores, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD069/18,"Publicidad impresa"," Servicio de publicidad impresa, por medio de publicaciones vía inserciones, de campañas promoción, publicaciones oficiales especificamente en las revista ""Express editores"", para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 104,400.00",$0.00,"$ 104,400.00","$ 104,400.00",AD069-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
91,"Adjudicación directa","Radio América de México, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD070/18,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""Radio formula XHV 101.7."", para la correcta comunicación social del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 290,000.00",$0.00,"$ 290,000.00","$ 289,948.81",AD070-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
92,"Adjudicación directa",WWW.ADRIANARUIZ.COM.MX,2018,enero-marzo,Chihuahua,Chihuahua,AD071/18,"Publicidad medios digitales","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.adrianaruiz.com.mx para la correcta comunicación en el transcurso del año 2018, con el contenido social y tiempo que le sea solicitado la coordinación de comunicación social.","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,11.07.2020,30.06.2018,"$ 100,000.00",$0.00,"$ 100,000.00","$ 100,000.00",AD071-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
93,"Adjudicación directa","Imagen Radio Comercial, S.A. de C.V.",2018,enero-marzo,Chihuahua,Chihuahua,AD072/18,"Publicidad radiofonica","Servicio de publicidad en radio via spots de avisos, anuncios oficiales, entrevistas, transmisiones oficiales, transmisiones en vivo y menciones dentro del programa  ""XHCHI 97.3 F.M."", para la correcta comunicación social del gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos, Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 750,000.00",$0.00,"$ 750,000.00","$ 750,000.00",AD072-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
94,"Adjudicación directa","Televisora de Occidente, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,AD108/19,"Publicidad en televisión. ","Servicio de publicidad en televisión a través de la programación de ""Televisa"", via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",15.03.2019,15.03.2019,30.06.2019,"$ 2,226,644.00",$0.00,"$ 2,226,644.00","$ 2,226,330.00",AD_108-19.PDF,Chihuahua,06.07.2020,2019,01.07.2020,"Sin comentarios.",Activo
95,"Adjudicación directa","Radioflash del Norte, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,AD109/19,"Publicidad radiofonica","Servicio de publicidad en radio a través de la Programación de ""XHBW Magia digital 93.3 FM,  XHBU La norteñita 91.7 F.M., XHQD Romance 95.7"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente.",15.03.2019,15.03.2019,30.06.2019,"$ 720,000.00",$0.00,"$ 720,000.00","$ 719,594.00",AD_109-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,"Sin comentarios.",Activo
96,"Adjudicación directa","Radio Impulsora X.E.E., S.A",2019,enero-marzo,Chihuahua,Chihuahua,AD110/19,"Publicidad radiofónica.","Servicio de publicidad en radio a través de la Programación de ""XHES 102.5"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",15.03.2019,15.03.2019,30.06.2019,"$ 600,000.00",$0.00,"$ 600,000.00","$ 599,687.52",AD_110-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,"Sin comentarios.",Activo
97,"Adjudicación directa",www.lajiribilla.com.mx,2019,enero-marzo,Chihuahua,Chihuahua,AD113/19,"Publicidad medios digitales.","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.lajiribilla.com.mx, para la correcta comunicación del Gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",15.03.2019,15.03.2019,30.06.2019,"$ 120,000.00",$0.00,"$ 120,000.00","$ 120,000.00",AD_113-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,"Sin comentarios.",Activo
98,"Adjudicación directa","Información Procesada Hemeroteca  Y Análisis de Prensa, S.C.",2019,enero-marzo,Chihuahua,Chihuahua,AD114/19,"Monitoreo medios de comunicación. ","Servicio de monitoreo y generación de Hemeroteca profesional de medios impresos para asi poder tener una adecuada medición al desempeño del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ",15.03.2019,15.03.2019,30.06.2019,"$ 162,400.00",$0.00,"$ 162,400.00","$ 162,400.00",AD_114-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,"Sin comentarios.",Activo
